,frame,age,yaw,pitch,roll,male,female,happy,sad,anger,neutral,surprise
0,5,-0.8737255284995916,1.172672794109488,2.0711088184012905,1.2460792011350954,True,False,False,False,False,True,False
1,6,-0.3141485046290673,1.6068395785777079,2.0338236381023904,1.2460108167478638,True,False,False,False,False,True,False
2,7,-0.3141485046290673,0.7451347487172503,1.995985862182003,1.1303847611976237,True,False,False,False,False,True,False
3,8,-0.8737255284995916,1.2534418801682696,1.9750715103910328,1.2035871818822061,True,False,False,False,False,True,False
4,9,-0.8737255284995916,1.2290206750182526,2.3813890612102546,1.2270908243603558,True,False,False,False,False,True,False
5,10,-0.3141485046290673,1.1457790338431482,1.8998349569286015,1.0996064925094629,True,False,False,False,False,True,False
6,11,0.8050055431119815,-0.7571445959852726,1.5469128741424176,0.37815142884525244,True,False,False,False,False,True,False
7,12,0.8050055431119815,-0.7068143933200945,1.3588233226999382,0.24361862930517425,True,False,False,False,False,True,False
8,13,0.8050055431119815,-0.5205238387562926,0.9930889366579905,-0.006409564078752484,True,False,False,False,False,True,False
9,14,2.4837366147235547,-0.8028589068937049,0.491959462283587,-0.9471036188168597,True,False,False,False,False,True,False
10,15,3.043313638594079,-1.4041301930778252,-0.16871404210208774,-0.8936874584254487,True,False,False,False,False,True,False
11,16,2.4837366147235547,-1.459556608464173,-0.23554183447282434,-1.0687897081639257,True,False,False,False,False,True,False
12,17,3.043313638594079,-0.3728607653934683,0.5420734357606428,-0.7347496328601487,True,False,False,False,False,True,False
13,18,0.2454285192414571,-0.44312529026937286,0.10279307974415025,-1.9265810033447697,True,False,False,False,False,True,False
14,19,0.2454285192414571,-1.2884109237630716,-0.3458927615619458,-2.2585344313901947,True,False,False,False,False,True,False
15,20,0.8050055431119815,-2.3030273721529935,-0.4573126936754603,-2.3692165690841485,True,False,False,False,False,True,False
16,21,0.8050055431119815,-1.609669482739818,0.0849308293665556,-2.0376047428463124,True,False,False,False,False,True,False
17,22,-0.3141485046290673,-1.695137642088069,0.7445326720181187,-0.5377890044820915,True,False,False,False,False,True,False
18,23,0.2454285192414571,-0.8639482262756373,0.955301729832938,-0.22643294402066622,True,False,False,False,False,True,False
19,24,0.2454285192414571,0.6748745059136765,0.6464051747340115,-1.058189020005701,True,False,False,False,False,True,False
20,25,0.2454285192414571,0.22962986366382443,0.27420197535909263,-1.7195358325615921,True,False,False,False,False,True,False
21,26,0.2454285192414571,0.5611667172993303,0.36962530859229276,-0.949784621700065,True,False,False,False,False,True,False
22,27,0.2454285192414571,0.09408027183122954,0.17436703822198718,-1.5439136940282898,True,False,False,False,False,True,False
23,28,0.2454285192414571,-1.6014515481815816,-0.05787373076064753,-0.9865962550127894,True,False,False,False,False,True,False
24,29,0.2454285192414571,-1.75186926956401,-0.027266236145015783,-1.3322978752993966,True,False,False,False,False,True,False
25,30,0.2454285192414571,-0.1357891150588484,0.39240980080386095,-0.6313666235243136,True,False,False,False,False,True,False
26,31,0.2454285192414571,-0.2958156245357215,0.5083310236769565,-0.8024967179880408,True,False,False,False,False,True,False
27,32,0.2454285192414571,0.451777489738506,0.4114596920363901,-0.8052825260394337,True,False,False,False,False,True,False
